Treatment,Colony,BeeID,Trial,Num not reach feeder 9,Num reach feeder 9,NumDistinctArms
Unbalanced,Unbalanced_Colony06,6Rep4,7,9,29,8
Unbalanced,Unbalanced_Colony06,6Rep4,8,2,12,8
Unbalanced,Unbalanced_Colony06,6Rep5,1,2,15,8
Unbalanced,Unbalanced_Colony06,6Rep5,2,5,39,8
Unbalanced,Unbalanced_Colony06,6Rep5,3,2,17,8
Unbalanced,Unbalanced_Colony06,6Rep5,4,0,11,8
Unbalanced,Unbalanced_Colony06,6Rep5,5,0,12,8
Unbalanced,Unbalanced_Colony06,6Rep5,6,1,12,8
Unbalanced,Unbalanced_Colony06,6Rep5,7,3,18,8
Unbalanced,Unbalanced_Colony06,6Rep5,8,0,12,8
Unbalanced,Unbalanced_Colony06,6Rep6,1,1,27,8
Unbalanced,Unbalanced_Colony06,6Rep6,2,1,13,8
Unbalanced,Unbalanced_Colony06,6Rep6,3,0,16,8
Unbalanced,Unbalanced_Colony06,6Rep6,4,2,26,8
Unbalanced,Unbalanced_Colony06,6Rep6,5,0,11,8
Unbalanced,Unbalanced_Colony06,6Rep6,6,1,24,8
Unbalanced,Unbalanced_Colony06,6Rep6,7,0,8,8
Unbalanced,Unbalanced_Colony06,6Rep6,8,1,16,8
Unbalanced,Unbalanced_Colony07,7Rep1,1,1,23,8
Unbalanced,Unbalanced_Colony07,7Rep1,2,4,13,8
Unbalanced,Unbalanced_Colony07,7Rep1,3,0,42,8
Unbalanced,Unbalanced_Colony07,7Rep1,4,1,48,8
Unbalanced,Unbalanced_Colony07,7Rep1,5,0,19,8
Unbalanced,Unbalanced_Colony07,7Rep1,6,0,15,8
Unbalanced,Unbalanced_Colony07,7Rep1,7,0,31,8
Unbalanced,Unbalanced_Colony07,7Rep1,8,3,21,8
Unbalanced,Unbalanced_Colony07,7Rep2,1,2,19,8
Unbalanced,Unbalanced_Colony07,7Rep2,2,4,26,8
Unbalanced,Unbalanced_Colony07,7Rep2,3,0,10,8
Unbalanced,Unbalanced_Colony07,7Rep2,4,0,12,8
Unbalanced,Unbalanced_Colony07,7Rep2,5,1,9,8
Unbalanced,Unbalanced_Colony07,7Rep2,6,0,19,8
Unbalanced,Unbalanced_Colony07,7Rep2,7,2,10,8
Unbalanced,Unbalanced_Colony07,7Rep2,8,1,9,8
Unbalanced,Unbalanced_Colony07,7Rep3,1,2,17,8
Unbalanced,Unbalanced_Colony07,7Rep3,2,2,9,8
Unbalanced,Unbalanced_Colony07,7Rep3,3,0,12,8
Unbalanced,Unbalanced_Colony07,7Rep3,4,0,10,8
Unbalanced,Unbalanced_Colony07,7Rep3,5,2,18,8
Unbalanced,Unbalanced_Colony07,7Rep3,6,4,28,8
Unbalanced,Unbalanced_Colony07,7Rep3,7,4,11,8
Unbalanced,Unbalanced_Colony07,7Rep3,8,3,12,8
Unbalanced,Unbalanced_Colony07,7Rep4,1,9,18,8
Unbalanced,Unbalanced_Colony07,7Rep4,2,5,17,8
Unbalanced,Unbalanced_Colony07,7Rep4,3,2,10,8
Unbalanced,Unbalanced_Colony07,7Rep4,4,15,35,8
Unbalanced,Unbalanced_Colony07,7Rep4,5,0,14,8
Unbalanced,Unbalanced_Colony07,7Rep4,6,2,11,8
Unbalanced,Unbalanced_Colony07,7Rep4,7,4,18,8
Unbalanced,Unbalanced_Colony07,7Rep4,8,7,14,8
Unbalanced,Unbalanced_Colony07,7Rep5,1,9,21,8
Unbalanced,Unbalanced_Colony07,7Rep5,2,1,22,8
Unbalanced,Unbalanced_Colony07,7Rep5,3,0,10,8
Unbalanced,Unbalanced_Colony07,7Rep5,4,1,11,8
Unbalanced,Unbalanced_Colony07,7Rep5,5,1,9,8
Unbalanced,Unbalanced_Colony07,7Rep5,6,3,14,8
Unbalanced,Unbalanced_Colony07,7Rep5,7,6,14,8
Unbalanced,Unbalanced_Colony07,7Rep5,8,3,16,8
Unbalanced,Unbalanced_Colony07,7Rep6,1,2,25,8
Unbalanced,Unbalanced_Colony07,7Rep6,2,1,18,8
Unbalanced,Unbalanced_Colony07,7Rep6,3,0,10,8
Unbalanced,Unbalanced_Colony07,7Rep6,4,0,13,8
Unbalanced,Unbalanced_Colony07,7Rep6,5,0,13,8
Unbalanced,Unbalanced_Colony07,7Rep6,6,0,14,8
Unbalanced,Unbalanced_Colony07,7Rep6,7,0,17,8
Unbalanced,Unbalanced_Colony07,7Rep6,8,0,11,8
Unbalanced,Unbalanced_Colony08,8Rep1,1,1,22,8
Unbalanced,Unbalanced_Colony08,8Rep1,2,3,25,8
Unbalanced,Unbalanced_Colony08,8Rep1,3,0,15,8
Unbalanced,Unbalanced_Colony08,8Rep1,4,2,12,8
Unbalanced,Unbalanced_Colony08,8Rep1,5,2,15,8
Unbalanced,Unbalanced_Colony08,8Rep1,6,8,16,8
Unbalanced,Unbalanced_Colony08,8Rep1,7,0,15,8
Unbalanced,Unbalanced_Colony08,8Rep1,8,4,10,8
Unbalanced,Unbalanced_Colony08,8Rep2,1,11,22,8
Unbalanced,Unbalanced_Colony08,8Rep2,2,2,17,8
Unbalanced,Unbalanced_Colony08,8Rep2,3,5,24,8
Unbalanced,Unbalanced_Colony08,8Rep2,4,2,11,8
Unbalanced,Unbalanced_Colony08,8Rep2,5,0,10,8
Unbalanced,Unbalanced_Colony08,8Rep2,6,0,8,8
Unbalanced,Unbalanced_Colony08,8Rep2,7,2,15,8
Unbalanced,Unbalanced_Colony08,8Rep2,8,0,9,8
Unbalanced,Unbalanced_Colony08,8Rep3,1,4,17,8
Unbalanced,Unbalanced_Colony08,8Rep3,2,1,20,8
Unbalanced,Unbalanced_Colony08,8Rep3,3,0,18,8
Unbalanced,Unbalanced_Colony08,8Rep3,4,1,17,8
Unbalanced,Unbalanced_Colony08,8Rep3,5,1,11,8
Unbalanced,Unbalanced_Colony08,8Rep3,6,0,19,8
Unbalanced,Unbalanced_Colony08,8Rep3,7,4,31,8
Unbalanced,Unbalanced_Colony08,8Rep3,8,7,21,8
Unbalanced,Unbalanced_Colony08,8Rep4,1,1,15,8
Unbalanced,Unbalanced_Colony08,8Rep4,2,0,12,8
Unbalanced,Unbalanced_Colony08,8Rep4,3,2,22,8
Unbalanced,Unbalanced_Colony08,8Rep4,4,0,14,8
Unbalanced,Unbalanced_Colony08,8Rep4,5,5,19,8
Unbalanced,Unbalanced_Colony08,8Rep4,6,0,30,8
Unbalanced,Unbalanced_Colony08,8Rep4,7,3,18,8
Unbalanced,Unbalanced_Colony08,8Rep4,8,1,12,8
Unbalanced,Unbalanced_Colony08,8Rep5,1,2,22,8
Unbalanced,Unbalanced_Colony08,8Rep5,2,4,19,8
Unbalanced,Unbalanced_Colony08,8Rep5,3,10,22,8
Unbalanced,Unbalanced_Colony08,8Rep5,4,1,12,8
Unbalanced,Unbalanced_Colony08,8Rep5,5,1,25,8
Unbalanced,Unbalanced_Colony08,8Rep5,6,3,9,8
Unbalanced,Unbalanced_Colony08,8Rep5,7,4,12,8
Unbalanced,Unbalanced_Colony08,8Rep5,8,8,25,8
Unbalanced,Unbalanced_Colony08,8Rep6,1,5,19,8
Unbalanced,Unbalanced_Colony08,8Rep6,2,5,15,8
Unbalanced,Unbalanced_Colony08,8Rep6,3,9,17,8
Unbalanced,Unbalanced_Colony08,8Rep6,4,0,13,8
Unbalanced,Unbalanced_Colony08,8Rep6,5,0,22,8
Unbalanced,Unbalanced_Colony08,8Rep6,6,8,27,8
Unbalanced,Unbalanced_Colony08,8Rep6,7,5,28,8
Unbalanced,Unbalanced_Colony08,8Rep6,8,5,14,8
Unbalanced,Unbalanced_Colony09,9Rep1,1,1,29,8
Unbalanced,Unbalanced_Colony09,9Rep1,2,1,13,8
Unbalanced,Unbalanced_Colony09,9Rep1,3,0,27,8
Unbalanced,Unbalanced_Colony09,9Rep1,4,1,30,8
Unbalanced,Unbalanced_Colony09,9Rep1,5,0,10,8
Unbalanced,Unbalanced_Colony09,9Rep1,6,1,24,8
Unbalanced,Unbalanced_Colony09,9Rep1,7,0,12,8
Unbalanced,Unbalanced_Colony09,9Rep1,8,0,14,8
Unbalanced,Unbalanced_Colony09,9Rep2,1,0,20,8
Unbalanced,Unbalanced_Colony09,9Rep2,2,0,12,8
Unbalanced,Unbalanced_Colony09,9Rep2,3,1,14,8
Unbalanced,Unbalanced_Colony09,9Rep2,4,1,22,8
Unbalanced,Unbalanced_Colony09,9Rep2,5,3,16,8
Unbalanced,Unbalanced_Colony09,9Rep2,6,2,8,8
Unbalanced,Unbalanced_Colony09,9Rep2,7,0,20,8
Unbalanced,Unbalanced_Colony09,9Rep2,8,1,14,8
Unbalanced,Unbalanced_Colony09,9Rep3,1,6,25,8
Unbalanced,Unbalanced_Colony09,9Rep3,2,4,16,8
Unbalanced,Unbalanced_Colony09,9Rep3,3,4,19,8
Unbalanced,Unbalanced_Colony09,9Rep3,4,1,17,8
Unbalanced,Unbalanced_Colony09,9Rep3,5,1,18,8
Unbalanced,Unbalanced_Colony09,9Rep3,6,0,19,8
Unbalanced,Unbalanced_Colony09,9Rep3,7,0,11,8
Unbalanced,Unbalanced_Colony09,9Rep3,8,8,30,8
Unbalanced,Unbalanced_Colony09,9Rep4,1,1,30,8
Unbalanced,Unbalanced_Colony09,9Rep4,2,0,17,7
Unbalanced,Unbalanced_Colony09,9Rep4,3,0,22,8
Unbalanced,Unbalanced_Colony09,9Rep4,4,0,13,8
Unbalanced,Unbalanced_Colony09,9Rep4,5,1,19,8
Unbalanced,Unbalanced_Colony09,9Rep4,6,2,11,8
Unbalanced,Unbalanced_Colony09,9Rep4,7,2,20,8
Unbalanced,Unbalanced_Colony09,9Rep4,8,2,23,8
Unbalanced,Unbalanced_Colony09,9Rep5,1,0,13,8
Unbalanced,Unbalanced_Colony09,9Rep5,2,0,12,8
Unbalanced,Unbalanced_Colony09,9Rep5,3,0,18,8
Unbalanced,Unbalanced_Colony09,9Rep5,4,3,24,8
Unbalanced,Unbalanced_Colony09,9Rep5,5,1,19,8
Unbalanced,Unbalanced_Colony09,9Rep5,6,0,15,8
Unbalanced,Unbalanced_Colony09,9Rep5,7,0,22,8
Unbalanced,Unbalanced_Colony09,9Rep5,8,0,20,8
Unbalanced,Unbalanced_Colony09,9Rep6,1,0,12,8
Unbalanced,Unbalanced_Colony09,9Rep6,2,0,24,8
Unbalanced,Unbalanced_Colony09,9Rep6,3,0,27,8
Unbalanced,Unbalanced_Colony09,9Rep6,4,1,20,8
Unbalanced,Unbalanced_Colony09,9Rep6,5,0,13,8
Unbalanced,Unbalanced_Colony09,9Rep6,6,0,16,8
Unbalanced,Unbalanced_Colony09,9Rep6,7,1,18,8
Unbalanced,Unbalanced_Colony09,9Rep6,8,4,35,8
Unbalanced,Unbalanced_Colony10,10Rep1,1,2,26,8
Unbalanced,Unbalanced_Colony10,10Rep1,2,0,12,8
Unbalanced,Unbalanced_Colony10,10Rep1,3,0,20,8
Unbalanced,Unbalanced_Colony10,10Rep1,4,0,11,8
Unbalanced,Unbalanced_Colony10,10Rep1,5,0,24,8
Unbalanced,Unbalanced_Colony10,10Rep1,6,4,25,8
Unbalanced,Unbalanced_Colony10,10Rep1,7,0,14,8
Unbalanced,Unbalanced_Colony10,10Rep1,8,0,12,8
Unbalanced,Unbalanced_Colony10,10Rep2,1,1,20,8
Unbalanced,Unbalanced_Colony10,10Rep2,2,0,11,8
Unbalanced,Unbalanced_Colony10,10Rep2,3,2,11,8
Unbalanced,Unbalanced_Colony10,10Rep2,4,0,11,8
