p1,p_flip,p0_same,p1_uncond,p2_uncond,p3_uncond,p4_uncond,mean_visits,sem_visits,mean_first_mistake_or_9,sem_first_mistake_or_9,prop_complete,prop_perfect,n_sims,log10_mean_visits
0.25,0.77,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,21.089625,0.09557374554513684,4.53875,0.01550801782996869,1.0,0.003625,8000,1.3240688575072135
0.25,0.78,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,21.19125,0.09524638793145516,4.554875,0.015553257850868316,1.0,0.00325,8000,1.3261565750256172
0.25,0.79,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,21.31875,0.09679974084890956,4.564875,0.015709424004310066,1.0,0.002875,8000,1.3287617367514724
0.25,0.8,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,21.448,0.09747807315926672,4.502375,0.015382542792065253,1.0,0.002875,8000,1.331386800974823
0.25,0.81,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,21.348,0.09771623103520707,4.533125,0.015492509287632471,1.0,0.003125,8000,1.3293571941315498
0.25,0.8200000000000001,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,21.564625,0.09708791098267201,4.497125,0.015412978679860951,1.0,0.003,8000,1.3337419103443984
0.25,0.8300000000000001,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,21.4875,0.09738331303389293,4.49125,0.015416756767756131,1.0,0.004,8000,1.3321858896951089
0.25,0.84,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,21.711,0.09974603893907519,4.49325,0.015511870678741305,1.0,0.002625,8000,1.3366798273457159
0.25,0.85,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,21.7165,0.1003555859143029,4.499875,0.015206829189664275,1.0,0.00375,8000,1.3367898322809868
0.25,0.86,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,22.109125,0.1024196065886488,4.469125,0.015263435503018131,1.0,0.00275,8000,1.3445715550983324
0.25,0.87,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,21.8525,0.099190682867374,4.4675,0.015225084372484399,1.0,0.002625,8000,1.3395011289081085
0.25,0.88,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,22.036375,0.10050849082049113,4.445875,0.015079157243353196,1.0,0.001375,8000,1.3431401542914536
0.25,0.89,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,22.192125,0.10112009460160926,4.46275,0.015030545377639946,1.0,0.001,8000,1.3461988899556583
0.25,0.9,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,22.26075,0.1007998760245434,4.4435,0.015075995139747216,1.0,0.00275,8000,1.347539792315596
0.25,0.91,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,22.305625,0.10240007576589717,4.440875,0.015033214193511594,1.0,0.003,8000,1.3484143966091704
0.25,0.92,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,22.283125,0.10128362010097915,4.445875,0.014961593889299981,1.0,0.00325,8000,1.3479760965145404
0.25,0.93,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,22.440125,0.10282523888504147,4.423,0.014929182330611163,1.0,0.0035,8000,1.351025271775703
0.25,0.9400000000000001,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,22.5765,0.10391294171652547,4.410625,0.014990567144367443,1.0,0.0025,8000,1.353656614803095
0.25,0.9500000000000001,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,22.584625,0.10476420795567752,4.3885,0.014816744269199031,1.0,0.00275,8000,1.3538128838377366
0.25,0.96,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,22.74225,0.10683031384715709,4.403,0.014678029689622722,1.0,0.00225,8000,1.3568334293158757
0.25,0.97,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,22.819125,0.10479556964979078,4.379375,0.014643317742785942,1.0,0.001375,8000,1.3582989873671532
0.25,0.98,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,22.815,0.10576903616430657,4.388625,0.014818970996987313,1.0,0.00225,8000,1.3582204731086798
0.25,0.99,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,23.21175,0.1097133759862319,4.37275,0.014661908168154355,1.0,0.001375,8000,1.3657078843892545
0.25,1.0,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,23.402125,0.10952006958202698,4.337,0.014673088885513512,1.0,0.0025,8000,1.3692552947551215
